technical,attribute,failure,patents,triggers
heat exchanger,temperature,freezing,"EP-0008176-B1, EP-0070989-B1","context_pair, result in"
heat exchanger,temperature,fouling,"EP-0008176-B1, EP-0070989-B1","becomes, context_pair"
chamber,temperature,oxidation,"EP-0069220-B1, EP-0070989-B1","associated with, context_pair, introduced into"
chamber,temperature,fouling,"EP-0069220-B1, EP-0070989-B1","becomes, context_pair"
vessel,temperature,oxidation,EP-0069220-B1,"associated with, context_pair, introduced into"
perforated pipe,temperature,oxidation,EP-0069220-B1,"associated with, context_pair, introduced into"
pump,temperature,oxidation,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","associated with, context_pair, introduced into"
pump,temperature,fouling,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","becomes, context_pair"
pump,temperature,contaminants,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","context_pair, via"
tank,temperature,fouling,"EP-0070989-B1, EP-0119205-B1","becomes, context_pair"
tank,temperature,contaminants,"EP-0070989-B1, EP-0119205-B1","context_pair, via"
drain,temperature,fouling,EP-0070989-B1,"becomes, context_pair"
flow control valve,temperature,fouling,EP-0070989-B1,"becomes, context_pair"
filter press,ash,add,EP-0019176-B1,"context_pair, due to"
chamber,ash,add,EP-0019176-B1,"context_pair, due to"
impeller,nature,oxidation,EP-0058225-B1,"context_pair, may"
discharge pipe,lid,pit,EP-0084398-B1,"context_pair, thus, while"
pump,bed,void,EP-0139001-B1,"context_pair, increase"
pressure sensor,bed,void,EP-0139001-B1,"context_pair, increase"
joint,hand,crushing,EP-0188487-B1,"context_pair, may"
