technical,attribute,failure,patents,triggers,nouns,verbs,noun_count,verb_count
heat exchanger,temperature,freezing,"EP-0008176-B1, EP-0070989-B1","context_pair, result in","addition, cooling, disadvantage, exchanger, flow, fouling, freeze, heat, receptacle, risk, solution, temperature, waste, water","become, draw, freeze, give, mention, occur, prevail, result",14,8
heat exchanger,temperature,fouling,"EP-0008176-B1, EP-0070989-B1","becomes, context_pair","addition, cooling, disadvantage, exchanger, flow, fouling, freeze, heat, receptacle, risk, solution, temperature, waste, water","become, draw, freeze, give, mention, occur, prevail, result",14,8
chamber,temperature,oxidation,"EP-0069220-B1, EP-0070989-B1","associated with, context_pair, introduced into","aeration, apparatus, base, basis, bottom, catalyst, chamber, cleaning, container, device, distance, end, fouling, freeze, gas, level, liquid, nozzle, oxidation, oxygen, particle, perforation, pipe, place, point, presence, pressure, process, purification, reaction, solution, substance, temperature, time, top, uptake, ventilation, vessel, wall, waste, water, way, width","associate, become, begin, carry, characterise, comprise, construct, contain, discharge, divide, end, extend, fill, incline, introduce, occur, perforate, provide, situate, span, supply, take",43,22
chamber,temperature,fouling,"EP-0069220-B1, EP-0070989-B1","becomes, context_pair","aeration, apparatus, base, basis, bottom, catalyst, chamber, cleaning, container, device, distance, end, fouling, freeze, gas, level, liquid, nozzle, oxidation, oxygen, particle, perforation, pipe, place, point, presence, pressure, process, purification, reaction, solution, substance, temperature, time, top, uptake, ventilation, vessel, wall, waste, water, way, width","associate, become, begin, carry, characterise, comprise, construct, contain, discharge, divide, end, extend, fill, incline, introduce, occur, perforate, provide, situate, span, supply, take",43,22
vessel,temperature,oxidation,EP-0069220-B1,"associated with, context_pair, introduced into","aeration, apparatus, base, basis, bottom, catalyst, chamber, cleaning, container, device, distance, end, gas, level, liquid, nozzle, oxidation, oxygen, particle, perforation, pipe, place, point, presence, pressure, process, purification, reaction, substance, temperature, time, top, uptake, ventilation, vessel, wall, waste, water, way, width","associate, begin, carry, characterise, comprise, construct, contain, discharge, divide, end, extend, fill, incline, introduce, perforate, provide, situate, span, supply, take",40,20
perforated pipe,temperature,oxidation,EP-0069220-B1,"associated with, context_pair, introduced into","aeration, apparatus, base, basis, bottom, catalyst, chamber, cleaning, container, device, distance, end, gas, level, liquid, nozzle, oxidation, oxygen, particle, perforation, pipe, place, point, presence, pressure, process, purification, reaction, substance, temperature, time, top, uptake, ventilation, vessel, wall, waste, water, way, width","associate, begin, carry, characterise, comprise, construct, contain, discharge, divide, end, extend, fill, incline, introduce, perforate, provide, situate, span, supply, take",40,20
pump,temperature,oxidation,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","associated with, context_pair, introduced into","aeration, apparatus, base, basis, bottom, buffer, catalyst, chamber, cleaning, container, contaminant, device, displacement, distance, end, feeding, filter, fouling, freeze, gas, level, liquid, nozzle, oxidation, oxygen, particle, perforation, ph, pipe, place, point, presence, pressure, process, pump, purification, reaction, solution, substance, system, tank, temperature, time, top, uptake, ventilation, vessel, wall, waste, wastewater, water, way, width","associate, become, begin, carry, characterise, come, comprise, construct, contain, discharge, divide, end, ensure, extend, fill, incline, introduce, occur, pass, perforate, provide, require, retain, set, situate, span, supply, take",53,28
pump,temperature,fouling,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","becomes, context_pair","bottom, buffer, catalyst, chamber, cleaning, contaminant, device, displacement, feeding, filter, fouling, freeze, gas, nozzle, oxygen, ph, process, pump, reaction, solution, system, tank, temperature, ventilation, waste, wastewater, water","become, carry, come, contain, ensure, fill, introduce, occur, pass, require, retain, set",27,12
pump,temperature,contaminants,"EP-0069220-B1, EP-0070989-B1, EP-0119205-B1","context_pair, via","bottom, buffer, catalyst, chamber, cleaning, contaminant, device, displacement, feeding, filter, fouling, freeze, gas, nozzle, oxygen, ph, process, pump, reaction, solution, system, tank, temperature, ventilation, waste, wastewater, water","become, carry, come, contain, ensure, fill, introduce, occur, pass, require, retain, set",27,12
tank,temperature,fouling,"EP-0070989-B1, EP-0119205-B1","becomes, context_pair","buffer, contaminant, device, displacement, feeding, filter, fouling, freeze, ph, pump, solution, system, tank, temperature, wastewater","become, come, ensure, occur, pass, require, retain, set",15,8
tank,temperature,contaminants,"EP-0070989-B1, EP-0119205-B1","context_pair, via","buffer, contaminant, device, displacement, feeding, filter, fouling, freeze, ph, pump, solution, system, tank, temperature, wastewater","become, come, ensure, occur, pass, require, retain, set",15,8
drain,temperature,fouling,EP-0070989-B1,"becomes, context_pair","fouling, freeze, solution","become, occur",3,2
flow control valve,temperature,fouling,EP-0070989-B1,"becomes, context_pair","fouling, freeze, solution","become, occur",3,2
filter press,ash,add,EP-0019176-B1,"context_pair, due to","additive, amount, content, need, presscake, process, sludge, solid, weight","add, dewatere, mention",9,3
chamber,ash,add,EP-0019176-B1,"context_pair, due to","additive, amount, content, need, presscake, process, sludge, solid, weight","add, dewatere, mention",9,3
impeller,nature,oxidation,EP-0058225-B1,"context_pair, may","action, amount, area, bod, chance, contact, effect, impeller, nature, order, oxidation, oxygen, shear, sludge, surface, time","activate, allow, coagulate, come, disintegrate, dissolve, hold, increase, make, moderate, promote, re",16,12
discharge pipe,lid,pit,EP-0084398-B1,"context_pair, thus, while","discharge, end, housing, invention, lid, opening, part, pipe, pit, position, pot, relationship, ring, sealing, stub, trap, tube, water","adapt, adjust, carry, characterize, comprise, connect, connencte, define, direct, extend, form, include, maintain, perforate, provide, relate, remain, say, seal, support",18,20
pump,bed,void,EP-0139001-B1,"context_pair, increase","air, bed, condensate, condition, decrease, drop, feedwater, flow, increase, line, outlet, point, pressure, pump, rate, resin, sensor, space, velocity, water","cause, increase, indicate, inject, occur, remedie, result, stir, supply",20,9
pressure sensor,bed,void,EP-0139001-B1,"context_pair, increase","air, bed, condensate, condition, decrease, drop, feedwater, flow, increase, line, outlet, point, pressure, pump, rate, resin, sensor, space, velocity, water","cause, increase, indicate, inject, occur, remedie, result, stir, supply",20,9
joint,hand,crushing,EP-0188487-B1,"context_pair, may","application, cable, clamp, hand, hoop, metal, outside, possibility, seal, section","allow, crush, hold, leave, maintain",10,5
