pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
EP-0003327-B1,"PROCESS FOR THE CHEMICAL-MECHANICAL TREATMENT AND/OR PURIFICATION OF GROUND, SURFACE OR WASTE WATERS",2,"make, improve, increase, respond, control, result, treat","change, water, process, case, dwell, basin, sedimentation, function, nature, reduction, time, load, capacity, treatment, size, quantity, system, plant, quality, parameter",sedimentation basin,"results in, due to",,"load capacity, nature",No sentence-level triplet found,No verb-component-failure triplet found
EP-0004056-B1,PRESSURE-REGULATED WATER SUPPLY INSTALLATION,17,"operate, give, transfer, bias, pump, characterise, actuate, dimension, reach, require, form, close, bring, desire, press, regulate, show, determine, cause, arrange, relate, describe, connect, provide, cooperate, prevent, deflect, pass, achieve, lift, arise, comprise, lead, face, switch, flow, adjust, occur, fit, come, control, generate, direct, arrive","line, surface, distance, transfer, water, functioning, relation, delivery, support, pump, space, valve, reservoir, accumulator, contact, seat, limit, action, side, feed, seal, check, opening, element, body, diaphragm, discharge, consumer, result, extraction, force, drawing, fact, value, deflection, pressure, room, membrane, interposition, air, engagement, storage, capacity, spring, gas, mouth, size, cone, supply, component, stream, ring, face, rise, switch, passage, system, leaf, flow, difference, power, invention, pipe, design, mean, drop","discharge line, pump, valve, reservoir, accumulator, check valve","thus, leads to, generated by, as a result of, leading to, gives rise to, via, due to",,,No sentence-level triplet found,No verb-component-failure triplet found
EP-0008176-B1,A METHOD OF RECOVERING HEAT FROM WASTE WATER IN A PURIFYING PLANT AND A PURIFYING PLANT FOR CARRYING OUT THE METHOD,21,"obtain, open, operate, give, include, derive, inflowe, characterise, recirculate, say, merge, aerate, draw, form, conduct, close, exceed, use, correspond, function, evaporate, communicate, assume, fill, settle, freeze, show, discharge, result, refer, isolate, cool, clean, proceed, know, associate, suggest, cause, describe, raise, return, connect, pass, provide, increase, stop, purify, work, remain, clarify, supply, maintain, mention, clog, reduce, comprise, refill, empty, claim, lead, switch, decrease, flow, prevail, design, mean, drop, add","water, receiving, season, waste, setting, manner, pump, medium, tnat, outlet, suction, valve, reservoir, disadvantage, overflow, way, risk, fraction, burst, recirculation, receptacle, settling, variation, night, inlet, order, discharge, temperature, portion, frost, heat, type, reduction, time, value, clarification, conduit, addition, equalizing, exchanger, load, purpose, bottom, air, method, pass, capacity, amount, sludge, stop, weir, period, turn, evaporator, part, inflow, cooling, day, claim, efficiency, stream, position, rate, series, flow, content, tank, plant, economy, oxygen, mean, drop, utilization","conduit, pump, heat exchanger, inlet, valve, tank, reservoir","corresponding to, derived, common, increases, because, dependent on, lead to, may, associated with, causes, results in, exceeding, result in",freezing,temperature,heat exchanger ➔ [result in] ➔ freezing (x1),"[DRAW] ➔ heat exchanger ➔ freezing (x1), [FREEZE] ➔ heat exchanger ➔ freezing (x1), [GIVE] ➔ heat exchanger ➔ freezing (x1)"
EP-0016408-B1,HARDNESS SENSOR FOR A WATER SOFTENING DEVICE AND DEVICE FOR SOFTENING WATER,35,"need, mix, open, lower, soften, shrink, swell, create, regenerate, use, let, correspond, separate, fill, rotate, result, know, realize, excite, pass, achieve, mediate, cancel, switch, establish, bulge, flow, locate, characterise, engage, base, simulate, reach, form, overcome, close, leave, contain, provide, sink, mention, suspend, happen, oppose, allow, equip, carry, arrive, operate, initiate, support, stand, say, group, suck, have, compress, sense, combine, restore, follow, accord, touch, build, criticize, help, connect, protrude, compensate, clamp, float, lie, predetermine, indicate, keep, readjust, level, end, surround, place, feed, attempt, take, care, solve, counteract, call, ensure, load, exchange, cause, act, prevent, lift, fasten, transmit, penetrate, lead, summarize","hand, electromagnet, filling, regeneration, pump, space, effect, drain, contact, way, question, mixture, test, sensing, discharge, coil, result, chloride, channel, addition, immersion, softener, frame, swelling, jacket, outside, switch, adjustment, system, salinization, other, flow, content, section, surface, waste, salt, center, shrinkage, consequence, lifting, displacement, housing, outset, extraction, piston, time, plurality, pressure, endurance, membrane, movement, area, cable, solution, point, injector, bypass, part, multiway, pipe, object, tank, softening, feature, column, mechanism, jet, embodiment, stand, valve, reservoir, vacuum, side, resin, pulse, loss, top, grain, sense, casing, device, riser, type, plate, principle, switching, sensor, spring, cooking, sewage, claim, passage, shape, configuration, filter, invention, bore, gap, influence, outlet, line, phase, water, end, duration, brine, probe, feed, deformation, compensation, experience, inlet, ion, force, edge, purpose, bottom, connection, fig, example, mouth, container, cavity, ring, alternative, hardness, core, salting, difference, rod, control, design, plant, economy, mean","discharge line, pump, inlet, sensor, valve, drain, tank, riser, bore, reservoir","effect of, due to, thereby, while, may, via, result in, to prevent, thus, leads to, consequently, as a result, common, based on, acts on, resulting from, caused by, therefore, because, shape, leading to, causes, influence","lifting, softening, swelling, deformation",hand,"valve ➔ [via] ➔ softening (x4), sensor ➔ [via] ➔ softening (x3), sensor ➔ [consequently] ➔ swelling (x2)","[CONNECT] ➔ valve ➔ softening (x4), [LIFT] ➔ sensor ➔ lifting (x4), [CONNECT] ➔ sensor ➔ softening (x3)"
EP-0016470-B1,WATER PRODUCING AIR CONDITIONING SYSTEM,14,"obtain, produce, live, say, contact, create, require, feed, use, drink, fall, result, find, heat, dry, cool, accord, recycle, exchange, cause, raise, pass, increase, prevent, adsorb, save, consider, drop","hand, water, conditioning, pump, apparatus, contact, libr, us, rain, enthalpy, loss, washing, fall, device, temperature, counter, heat, layer, distillation, moisture, foot, value, room, exchanger, pressure, current, tower, air, area, phenomenon, difficulty, solution, desert, adsorption, adsorbent, part, evaporation, cooling, claim, decrease, passage, quantity, system, power, content, tank, plant","heat exchanger, valve, tank, pump","thus, obtained from, caused by, therefore, because, increases, increase, important, creating, causes, because of, to prevent, result in",,"hand, rain, temperature",No sentence-level triplet found,No verb-component-failure triplet found
EP-0019176-B1,PROCESS FOR DEWATERING WASTE WATER SLUDGES ON COMPARTMENT FILTER PRESSES,7,"obtain, dewatere, concentrate, see, remove, damage, detach, find, combine, treat, accord, know, burn, cause, contain, remain, mention, arise, occur, destroy, condition, carry, dispense, add","need, structure, deposit, process, solid, salt, additive, presscake, ash, gravity, incrustation, use, lime, combustion, cloth, iron, flocculant, press, device, temperature, aid, ventilation, cake, flake, weight, method, sludge, amount, conveying, example, pumping, stage, pretreatment, sewage, chamber, filtration, advantage, pressing, term, filter, invention, content, floc","filter press, chamber","caused by, consequently, therefore, because, due to, remove","deposits, add","hand, temperature, ash","filter press ➔ [due to] ➔ add (x1), chamber ➔ [due to] ➔ add (x1)","[ADD] ➔ filter press ➔ add (x1), [ADD] ➔ chamber ➔ add (x1), [DEWATERE] ➔ filter press ➔ add (x1)"
EP-0023591-B1,"HYDRAULIC CONTROL WITH A LINE RUPTURE PROTECTION VALVE FOR A DOUBLE-ACTING DRIVING CYLINDER, USED ESPECIALLY FOR POSITIONING A STRAND GUIDING ROLLER IN A CONTINUOUS CASTING PLANT",60,"miss, open, produce, lower, set, remove, use, correspond, adhere, receive, discharge, determine, know, consist, describe, achieve, remain, supply, maintain, meet, switch, bulge, adjust, precede, instal, emit, locate, secure, replace, base, recede, limit, retain, close, prefer, overcome, expect, block, alternate, lock, trigger, characterize, provide, work, mention, fix, lose, reduce, comprise, protect, allow, occur, carry, operate, initiate, say, cease, breathe, display, spray, reverse, relieve, have, press, fall, show, disappear, move, restore, follow, accord, associate, concern, hold, connect, shut, report, compensate, depressurize, perform, escape, exist, release, keep, change, actuate, go, drive, retreat, feed, avoid, take, communicate, experience, become, ensure, refer, owe, load, cause, arrange, act, prevent, lift, yield, lead, control, design, activate, mean","bearing, hand, protection, filling, transmitter, vicinity, maneuverability, process, pump, space, way, continuation, risk, delay, function, admission, order, de, result, maintenance, addition, amount, safety, operating, advantage, position, switch, pilot, system, roller, flow, evasion, condition, fluid, section, requirement, overload, compression, breakthrough, surface, oil, memory, elevator, caster, guide, accumulator, shaft, seat, consequence, cartridge, ballast, extension, damage, intake, piston, meter, time, block, possibility, output, hose, pressure, movement, area, return, accordance, state, point, direction, course, quantity, parallel, pipe, tank, cylinder, fire, medium, valve, case, word, catch, side, check, loss, device, retention, counter, input, working, leak, fact, principle, switching, gauge, build, retraction, machine, branch, increase, flanging, spring, counterforce, period, gear, rupture, inflow, backflow, claim, installation, breathing, invention, extent, strand, release, fracture, drop, outlet, land, line, slide, event, change, casting, safeguard, end, break, signal, duration, disadvantage, place, drive, breakage, leakage, closing, relief, spool, slab, temperature, force, sum, spite, edge, load, holding, source, operator, connection, task, example, minimum, fig, cone, chamber, pair, component, ring, operation, lead, face, rod, control, design, instruction","pressure relief valve, control valve, gauge, branch line, flow meter, flow sensor, pump, inlet, valve, check valve, accumulator, tank, chamber","triggers, becomes, lead to, break, used to, owing to, associated with, due to, as a result of, increases, via, to prevent, thus, leads to, consequently, in the event of, limited in, based on, act, increase, because of, acts on, yields, caused by, therefore, leading to, because, produces, important","lifting, blocked, leakage, fracture, breakage, leak, rupture","hand, hydraulic pressure, temperature","chamber ➔ [via] ➔ rupture (x4), valve ➔ [via] ➔ rupture (x4), valve ➔ [via] ➔ leakage (x3)","[HOLD] ➔ chamber ➔ rupture (x4), [CLOSE] ➔ valve ➔ rupture (x3), [OPEN] ➔ chamber ➔ rupture (x3)"
EP-0023895-B1,INTERFACE UNIT FOR VACUUM SEWERS,13,"open, keep, accumulate, require, close, seal, attempt, use, correspond, have, show, illustrate, cause, raise, act, increase, provide, understand, reduce, comprise, allow, shape, flow","surface, column, level, water, restriction, end, space, reducer, suction, valve, gravity, vacuum, unit, cost, extension, feed, coupling, diameter, form, top, elevation, depth, interface, liquid, drawing, buildup, conduit, sewer, pressure, fitting, hammering, batch, air, enclosure, connection, increase, sensor, piping, size, container, sewage, chamber, pvc, system, accumulation, invention, extent, fluid, pipe, tank, section, surge","conduit, fittings, pump, reducer, sensor, valve, tank, accumulator, chamber, coupling","reduces, comprise, consequently, while, act, may, requiring, increase, causes","lifting, blocked, blockage",elevation,"chamber ➔ [reduces] ➔ blockage (x1), chamber ➔ [reduces] ➔ lifting (x1), chamber ➔ [reduces] ➔ blocked (x1)","[REDUCE] ➔ chamber ➔ blockage (x1), [REDUCE] ➔ chamber ➔ lifting (x1), [REDUCE] ➔ chamber ➔ blocked (x1)"
EP-0027910-B1,PROCESS FOR SQUEEZING SEWAGE SLUDGES BY MEANS OF A CHAMBER FILTER PRESS,19,"obtain, mix, operate, make, define, change, start, initiate, convey, select, characterise, base, say, respond, recharge, fluctuate, dimension, set, reach, compose, interrupt, require, accept, retain, elapse, continue, take, use, press, fill, manage, show, ensure, find, result, terminate, run, accord, know, charge, lock, repeat, explain, connect, increase, provide, stop, work, achieve, assign, mention, fix, divide, reduce, comprise, energize, lead, switch, decrease, rise, monitor, flow, precede, predetermine, prevail, occur, control, design, equip, carry, activate, indicate, drop, add","initiation, loading, hand, filtrate, conditioning, filling, sequence, pump, process, space, contact, set, use, delay, screw, remanence, flocculant, gi, result, contactor, chloride, average, boiler, precipitant, amount, resistance, whole, dewatering, filtration, distribution, refill, advantage, position, switch, substance, flow, content, lag, section, activation, motor, delivery, sulfate, post, solid, fertilizer, differential, na, limit, lime, mixer, monitoring, time, threshold, degree, pressure, charge, number, treatment, cycle, point, δt, part, enlargement, rise, course, monitor, wind, ch, parallel, relay, object, valve, detail, check, press, fall, matter, sense, device, view, aluminum, type, δti, fact, counter, value, cake, current, method, ca, sludge, sensor, period, sewage, turn, oh, circuit, groove, filter, invention, extent, drop, influence, line, phase, slide, end, break, disadvantage, variant, place, throughput, feed, iron, inlet, landfillability, purpose, dosing, example, fig, gas, loosening, importance, chamber, operation, context, charging, pressing, term, timing, control, mode, plant, processing","filter press, pump, inlet, valve, check valve, chamber, pressure sensor","thus, leads to, while, therefore, as a result, increases, based on, break, increase, activation of, due to, via, monitoring, influence, important",,"nature, precipitation, hand, wind",No sentence-level triplet found,No verb-component-failure triplet found
EP-0031535-B1,PROCESS FOR THE CYCLIC REGENERATION OF WATER SOFTENING APPARATUS AND PROGRAMME-CONTROLLED APPARATUS THEREFOR,21,"make, keep, define, start, include, soften, bias, enter, support, set, reach, regenerate, spray, push, feed, avoid, pretensione, use, screw, backwashe, correspond, have, measure, pollute, press, discharge, determine, unscrew, preselecte, meter, move, preset, combine, accord, backflushe, depend, withdraw, trigger, cause, contain, relate, characterize, hold, provide, pass, connect, achieve, remain, fix, mention, execute, prepare, reduce, comprise, lead, meet, allow, backflush, backwash, float, flow, wash, predetermine, adjust, come, control, carry, send","program, velocity, regeneration, pump, process, contact, way, coupling, delay, element, coil, amount, substance, switch, adjustment, system, flow, timer, content, requirement, utility, region, metering, manner, vessel, salt, apparatus, tap, chemical, environment, dependence, backwashing, outset, piston, meter, time, development, layer, degree, lid, application, withdrawal, area, regenerant, treatment, solution, mean, direction, quantity, rate, solenoid, tank, object, cover, softening, food, sector, valve, indicator, reservoir, spray, building, top, pulse, proportion, device, counter, type, agent, switching, exchanger, service, method, stop, spring, mass, sewage, claim, float, wash, invention, extent, exhaustion, particle, line, water, level, event, setting, end, art, contamination, rest, ion, stroke, speed, exchange, bottom, purpose, head, connection, storage, interval, operation, hardness, control, plant, technology, processing, member","water meter, control valve, flow meter, solenoid valve, vessel, valve, tank, reservoir, piston pump, metering pump, coupling","reduces, triggers, comprise, thus, leads to, corresponding to, while, therefore, in the event of, may, via, important","softening, untreated water, contamination","hand, lid","tank ➔ [while] ➔ softening (x2), tank ➔ [triggers] ➔ softening (x2), control valve ➔ [triggers] ➔ softening (x2)","[WASH] ➔ tank ➔ softening (x3), [CHARACTERIZE] ➔ vessel ➔ softening (x2), [CHARACTERIZE] ➔ vessel ➔ untreated water (x2)"
