Lens ID,concatenated_column,precision
039-320-812-487-239,"Ion-removal from water using activated carbon electrodes An electrode for deionization of water is made of a continuous activated carbon structure. The activated carbon is derived from a synthetic carbon precursor. The structure has openings, inlet and outlet ends such that water entering the inlet end passes through the openings and exits through the outlet end, a conductive coating on at least part of the outer surface of the structure, and a metal wire in contact with the structure. A deionization system is made up of the electrodes in series so that the outlet end of one electrode is next to the inlet end of the nearest downstream electrode. The metal wire of each electrode is connected to a power source to deliver the opposite charge as the charge delivered to its neighboring electrodes. Each of the electrodes is fixedly attached to and sealed within a housing with an air and moisture-tight seal. Openings in the housing between the electrodes, allow air to be removed before use. A method of removing ions from a stream of water involves removing air from the system by applying a vacuum to the housing openings and sealing the housing openings, passing a current through the device, and passing a stream of water containing ions through it to remove the ions.",
082-619-357-255-772,"METHOD FOR TREATING POLLUTED MATERIAL A method for treating polluted material such as industrial waste water or polluted water from other sources, sewage or sewage sludge or other forms of sludge, or polluted soil, to degrade oxidizable substances therein, comprising subjecting the polluted material to a wet oxidation process in a reactor so as to decompose and/or modify oxidizable substances therein and optionally improve the filterability of solids when present in the material; the material may optionally be pretreated so as to facilitate the wet oxidation process. Solid polluted material is preferably in the form of a liquid suspension, such as an aqueous suspension, when subjected to wet oxidation. The wet oxidation process is performed to such an extent, optionally with subsequent substantial removal of heavy metals, that the decomposed and/or modified substances remaining after the wet oxidation and the optional removal of heavy metals are substantially biodegradable.",
163-154-427-563-447,"DEVICE FOR PRODUCING FRESH WATER BY SOLAR ENERGY-DRIVEN SEA WATER DESALTING MEANS A device for the production of fresh water from sea or brackish water is provided. The device contains one or more evaporation pans covered with a translucent material, one or more ascending chimney-gallaries the upper ends of which are open to the air and the lower ends of which are tightly connected to the evaporation pans and a fresh water collecting chamber. The communication between the evaporation pans and the chimney-gallaries is regulated such that it can be opened and closed so as to maximize efficiency. The communication between the bottom section of the chimney-gallery and the open air is likewise regulated. The device is especially suited for carrying out batchwise fresh water production by evaporation of sea or brackish water. The batchwise method can involve sequences according to circadian alternations, of an evaporation-condensation step followed by a step of cooling for the restoration of the initial conditions for a further step of evaporation-condensation.",
048-545-763-305-26X,"Pressure reduction system and method Systems and methods for pressure reduction, including a first conduit with a pressure sensor, a static restriction device, and second conduit connected therebetween. Fluid is introduced through the second conduit as a function of the pressure sensed by the pressure sensor, thereby compensating for fluctuations in sensed pressures due to restriction device degradation and other factors.",
104-857-096-894-073,"Method and apparatus for the enhanced treatment of fluids via photolytic and photocatalytic reactions A photolytic and photocatalytic reaction enhancement device comprising a fluid permeable fixed-substrate material preferably constructed of either pure titanium or tungsten or their alloys that is oxidized or anodized to form a titanium dioxide or tungsten oxide layer, respectively, or a corrosion-resistant metal alloy that can be coated with a photocatalyst. The substrate may be a glass, polymeric or ceramic composition containing micropores, channels or conduits which receive oxidizing, reducing and/or pH agents and is more generally comprised of a length of mesh or cloth-like material which is folded in accordion-shaped fashion. A plurality of panels are created by the folding, each being adapted with at least one aperture for the slidable reception of the UV light source there through. The subject device may be removably installed within conventional and more novel, commercially available UV chambers without modification thereof or the use of invasive mounting means.",
056-789-495-522-970,"Electrochemical device and method for simultaneous detection and recovery of metals ions from wastewater There is disclosed a metal ion detection device, comprising a working electrode on which a droplet of the solution sample is placed, a counter electrode; and a reference electrode, wherein a droplet of a pH indicator solution is further placed on the working electrode surface after drying the working electrode surface, leading to conversion of metal ions present in the solution sample to corresponding metal atoms and deposition of the metal atoms on the working electrode surface. The working electrode is a glassy carbon electrode modified with amino-functionalized multi-walled carbon nanotubes (MWCNTs-NH2) and an amide derivative of benzoic acid (ADB). The device enables multi-metal ions detection, toxic metal ions removal from wastewater and metals enrichment/recovery via electroreduction. A method of detecting multiple co-existing metal ions from a solution sample is also proposed.",
140-008-469-064-160,"Selective separation of borate ions in water Borate ions dissolved at low concentration in water are separated efficiently with the use of a hydroxide or hydrous oxide of a rare earth element as the adsorbent. By contacting a borate ion-containing water with the absorbent, borate ions are separated by adsorption, and the adsorbent having adsorbed borate ions is desorbed and the regenerated for reuse with a desorbing solution adjusted to pH about 2 to about 4 or pH about 12 to about 14.",
150-697-352-534-826,"Method of transporting a sulfur-hydrocarbon slurry in a pipeline The present invention relates to an improved method of transporting a sulfur-hydrocarbon slurry in a pipeline with a minimum of sulfur precipitation and adherence to the internal parts of the pipeline system. The improvement comprises maintaining the flow rate of the slurry to at least about the value given by the equation FLOW RATE (FEET PER SECOND) = 0.16 [ DELTA T( DEG F)-5] when the flow rate is below 8.0 feet per second, to thereby prevent the plating of sulfur on the walls of the pipeline by the precipitation of the dissolved sulfur in the sulfur-hydrocarbon slurry.",
022-815-007-598-822,"Water treatment for removing PFAS An above-ground low-energy method of dewatering highly contaminated waste e.g. leachate contaminated with at least a first group of contaminants and PFAS is described. The method comprises the step of removing the PFAS before removing the first group of contaminants. The removal of PFAS is undertaken by actively aerating the contaminated waste comprising PFAS to produce a waste stream comprising a concentration of PFAS and a liquid stream having at least some of the first group of contaminants. The one or more liquid streams are separated from the waste streams so as to dewater the contaminated waste. Optionally, the liquid streams are treated to remove the first group of contaminants.",
101-464-852-938-398,"Fresh water generation method The present invention relates to a fresh water generation method using a water treatment apparatus, the method including feeding water to be treated into a membrane element including a reverse osmosis membrane or a nanofiltration membrane to separate into concentrate and permeate, in which the method includes, under operation of the apparatus, adjusting a concentrate flow rate and/or a permeate flow rate based on a water quality index of the water to be treated and a water quality index of combined water prepared by combining the concentrate and the permeate at a ratio based on a predetermined permeate recovery rate, so that the water quality index of the water to be treated falls within a tolerance on the water quality index of the combined water.",
