Keyword,Count,Percentage of Total Mentions (%)
Machine Learning,23,10.60%
Digitization,16,7.37%
Industrial Big Data,13,5.99%
Multisource heterogeneous data,11,5.07%
Data Analytics,10,4.61%
Internet of things,9,4.15%
Wastewater Management,7,3.23%
Semantic Data Integration,6,2.76%
Manufacturing,5,2.30%
Technology,5,2.30%
Stock prediction,5,2.30%
soil marks,4,1.84%
Predictive Maintenance,4,1.84%
Design Patent Search System,3,1.38%
Spatial Shape Recognition,3,1.38%
Groundwater Conservation,3,1.38%
Graph data,3,1.38%
Complex network,3,1.38%
Pipelines,3,1.38%
RDF  (Resource Description Frame work),3,1.38%
Structuralization and characterization,3,1.38%
Regulatory Compliance,2,0.92%
Multi-attention graph neural network,2,0.92%
IoT,2,0.92%
IoT security vulnerabilities,2,0.92%
WSN,2,0.92%
Water-Energy Nexus,2,0.92%
Sentinel-2,2,0.92%
L-band SAR,2,0.92%
Information spillover,2,0.92%
Distributed Acoustic Sensing (DAS),2,0.92%
Mulitmodal Feature Representations,2,0.92%
CNN,2,0.92%
On-demand Fusion Queries (OD-FQ),2,0.92%
SAE,2,0.92%
Blockchain,2,0.92%
Cloud computing,2,0.92%
Conflict resolution,2,0.92%
Source Trustworthiness,2,0.92%
Five-dimension model,2,0.92%
Sensors,1,0.46%
Flood situational awareness,1,0.46%
Smart cities,1,0.46%
5G,1,0.46%
leakage detection,1,0.46%
GIS,1,0.46%
database development,1,0.46%
Real-time Alerts,1,0.46%
Physics-informed,1,0.46%
UAV remote sensing,1,0.46%
Cyber-physical Systems (CPSs),1,0.46%
vegetation indices,1,0.46%
positional uncertainty analysis,1,0.46%
Multiple invisible factors,1,0.46%
ALOS-2,1,0.46%
Gray-Level Co-occurrence Matrix,1,0.46%
Public Health,1,0.46%
cross-industry,1,0.46%
ESP32,1,0.46%
Knowledge Discovery,1,0.46%
Heterogeneous Network Embedding,1,0.46%
Radial Basis Functions (RBF),1,0.46%
FC,1,0.46%
Patent Image Similarity Search,1,0.46%
DBN,1,0.46%
Scene Text Spotting,1,0.46%
Product structure,1,0.46%
Multi-image fusion,1,0.46%
Water Quality Monitoring,1,0.46%
Between-source Conflicts,1,0.46%
Explainable AI,1,0.46%
Enabling tools,1,0.46%
Optical Fiber Sensors (OFS),1,0.46%
Dams,1,0.46%
model,1,0.46%
Artificial Intelligence (AI),1,0.46%
multitemporal satellite imagery,1,0.46%
