Lens ID,concatenated_column,precision
039-320-812-487-239,Ion-removal from water using activated carbon electrodes,1
082-619-357-255-772,METHOD FOR TREATING POLLUTED MATERIAL WITH WATER,1
163-154-427-563-447,DEVICE FOR PRODUCING FRESH WATER BY SOLAR ENERGY-DRIVEN SEA WATER DESALTING MEANS,1
048-545-763-305-26X,Pressure reduction system and method,1
104-857-096-894-073,Method and apparatus for the enhanced treatment of fluids via photolytic and photocatalytic reactions,1
056-789-495-522-970,Electrochemical device and method for simultaneous detection and recovery of metals ions from wastewater,1
140-008-469-064-160,Selective separation of borate ions in water,1
150-697-352-534-826,Method of transporting a sulfur-hydrocarbon slurry in a pipeline,0
022-815-007-598-822,Water treatment for removing PFAS,1
101-464-852-938-398,Fresh water generation method,1
197-640-293-539-640,Method and apparatus for sampling organic compounds in water,1
171-439-194-180-400,Data transmission system for pipelines,1
055-614-222-853-458,Fresh water generator,1
172-480-072-475-850,Photovoltaic evaporation and distillation system for the recycling of greywater to potable water,1
119-586-564-114-481,Water softening and treatment system,1
098-456-430-470-717,Overflow valve prevention system,1
115-577-607-885-850,System and method for storing water in an underground reservoir and managing the same,1
192-726-645-780-012,Method for improved water well production,1
174-466-751-327-798,Water treatment process,1
121-601-404-287-185,Sewerage flow diverter,1
112-871-361-324-516,Apparatus and method for biological purification of waste,1
115-654-564-347-839,Method for leakage detection of underground pipeline corridor based on dynamic infrared thermal image processing,1
033-655-018-487-860,Processes for conditioning soil with anionic water-soluble polymers,0
010-142-079-254-990,Environmentally safe method for the removal of residual water soluble polymers from aqueous waste streams,1
060-516-636-493-60X,System and method for maintaining water quality in large water bodies,1
142-247-737-879-317,Method of and apparatus for decomposing wastes,0
043-211-132-460-704,Method of operating reverse osmosis membrane apparatus,1
111-860-717-551-307,Flow sensor and system incorporating the same for monitoring steam turbine drain valves,1
006-055-546-633-413,A method and a system for leak protection of a supply water installation,1
124-058-864-273-013,System for straining water,1
085-733-047-467-049,Control of odor and septicity of sewage,1
182-620-044-345-922,Installation for generating superheated process steam from salt-containing raw water,1
175-969-234-527-24X,Wastewater treatment unit and method for treating wastewater,1
098-045-579-133-739,Process for preventing contamination of the aquatic environment with organisms from ballast water,1
009-640-082-294-703,System for offshore production of fuel,0
151-581-690-437-676,Method of plain sedimentation and physical-chemical sedimentation of domestic or industrial waste water,1
013-643-515-413-201,Time optimization in a device utilizing water for a cleaning procedure,0
071-353-807-927-552,System and method for manufacturing a system for filtering and disinfecting drinking water,1
028-203-638-340-634,Methods of making a hollow fiber membrane element adapted for use in water treatment and osmotic processes,1
186-111-169-235-321,RO installation for flushing solutions,0
183-392-741-871-551,Device for oxygenating sea water,0
071-518-750-787-968,Wastewater treatment system,1
153-008-638-557-946,"Atmospheric water extraction system A water sorption device includes a catalytic combustor configured to, in a desorption state, combust a hydrocarbon fuel mixture to generate heat; a thermoelectric generator configured to, in the desorption state, generate electricity from a first portion of the heat from the catalytic combustor; and an adsorber configured to in an adsorption state, adsorb water from ambient air from an environment and in the desorption state, desorb the adsorbed water as vapor using a second portion of the heat from the catalytic combustor.",1
